,video_id,title,channel_title,category_id,tags,views,likes,dislikes,comment_total
84,1KCZHHMZVGQ,Adam Ruins Everything - Why Toxins Are a Myth (Tease) | truTV,truTV,24,test_tag,1080087,17363,1042,2404
85,1L7JFN7tQLs,iPhone X Hands on - Everything you need to know,Jonathan Morrison,28,test_tag,4961383,142040,5573,27486
86,1NyMSWqIJDQ,Danielle Bregoli is BHAD BHABIE “Hi Bich / Whachu Know” (Official Music Video),Bhad Bhabie,10,test_tag,52426065,1884890,631817,348137
87,1Q-ZREGfxTI,10 New OREO Flavors!!! Taste Test Challenge-a-thon - Man Vs Youtube,Rob Czar,24,test_tag,2617322,120405,6312,12236
88,1QWLyi03twg,COOK OFF! (2017 Movie) – Official Trailer,Lionsgate Movies,1,test_tag,2085608,20398,12531,4406
89,1ShHf1Ym1h0,American Made by Upchurch (OFFICIAL MUSIC VIDEO),Ryan Upchurch,24,test_tag,1789401,73113,4058,10915
90,1Sm8A-u1vIA,LIVE TRACKING OF HURRICANE IRMA,ABC Action News,24,test_tag,14388130,53539,7857,270
91,1WpOhaJe49w,HATERS BACK OFF PANTS COOKIES - NERDY NUMMIES,Rosanna Pansino,26,test_tag,1165979,54906,762,11711
92,1Yt1O-OhAm4,Rich Uncle Pennybags Look-Alike Trolls Equifax Hearing,Roll Call,25,test_tag,604488,8331,169,903
93,1ZNZY-gd3K0,Joe Arpaio: Last Week Tonight with John Oliver (HBO),LastWeekTonight,24,test_tag,14288806,272639,17953,36435
94,1csaGKAjAvw,DIY TAYLOR SWIFT #LWYMMD COSTUME // Grace Helbig,Grace Helbig,22,test_tag,158497,11737,137,508
95,1eQXF7JbbGE,Vanessa​ and​ Maks’  - Jazz - Dancing with the Stars,Dancing With The Stars,24,test_tag,9761,179,7,59
96,1hvdr7RjNRk,Ellen & Oprah Take Over a Grocery Store Part 1,TheEllenShow,24,test_tag,9501802,170385,4725,10179
97,1kHmFjHzR-s,Getting to know Victoria Beckham,pixiwoo,26,test_tag,641718,31312,898,2952
98,1kVLpFilePw,Lip Sync Conversation with Demi Lovato,The Tonight Show Starring Jimmy Fallon,23,test_tag,734401,61972,423,1983
99,1k_whpRADOE,The Last Word: Hugh Hefner,The New York Times,25,test_tag,640558,7518,889,2421
100,1lOd7rDFYbc,Husky Dog Adopts Stray Cat Saving Her Life | The Dodo: Comeback Kids,The Dodo,15,test_tag,1599828,51685,695,3713
101,1nEp6DcHwhs,Tying a Shoe,Buttered Side Down,23,test_tag,50720,5198,118,678
102,1rmAi9XmlIo,Morrissey - Spent the Day in Bed (Official Video),MorrisseyOnVEVO,10,test_tag,1713507,48358,1781,6161
103,1u5jO57eD-U,The IT Department,The Late Late Show with James Corden,24,test_tag,13012099,293119,5763,7642
104,1wwwXCQyIRA,FENTY BEAUTY REVIEW,pixiwoo,26,test_tag,686805,27053,877,2625
105,1y7giHbrvcc,WALK THE MOON - Headphones,WalkTheMoonVEVO,10,test_tag,161341,9001,354,1302
106,1yYV9-KoSUM,MACKLEMORE FEAT KESHA - GOOD OLD DAYS (OFFICIAL MUSIC VIDEO),Macklemore LLC,10,test_tag,12618928,541249,6452,21959
107,1z3cp_Mh8bA,Prince Harry's popcorn swiped by toddler,CBC News,25,test_tag,4211157,22693,934,3392
108,20yqGk-M-iI,Jacob Sartorius Gives RAW Interview,RAW,22,test_tag,55655,4102,626,358
109,22tF3y_epZs,Let's Talk about Books,vlogbrothers,22,test_tag,362929,25484,212,3576
